user,text,Positive,Negative,Neutral,Compound,Sentiment,tokenized,no_stopword,stemmed,lemmatized
Jan72877984,banning gambling is probably to protect people under 18 so they dont get into it i can take that but still,0.079,0.0,0.921,0.2023,Positive,"['banning', 'gambling', 'is', 'probably', 'to', 'protect', 'people', 'under', '18', 'so', 'they', 'dont', 'get', 'into', 'it', 'i', 'can', 'take', 'that', 'but', 'still']",banning gambling probably protect people 18 dont get take still,"['ban', 'gambl', 'probabl', 'protect', 'peopl', '18', 'dont', 'get', 'take', 'still']","['ban', 'gamble', 'probably', 'protect', 'people', '18', 'dont', 'get', 'take', 'still']"
Squabbit530,its about the  fact the site was originallly not meant for girls and hot tubs etc  you as twitch allow se,0.079,0.0,0.921,0.2263,Positive,"['its', 'about', 'the', 'fact', 'the', 'site', 'was', 'originallly', 'not', 'meant', 'for', 'girls', 'and', 'hot', 'tubs', 'etc', 'you', 'as', 'twitch', 'allow', 'se']",fact site originallly meant girls hot tubs etc twitch allow se,"['fact', 'site', 'originallli', 'meant', 'girl', 'hot', 'tub', 'etc', 'twitch', 'allow', 'se']","['fact', 'site', 'originallly', 'meant', 'girl', 'hot', 'tub', 'etc', 'twitch', 'allow', 'se']"
Wathek_Bgts,how about porn,0.0,0.0,1.0,0.0,Neutral,"['how', 'about', 'porn']",porn,['porn'],['porn']
PureLycian,now then will there be a temp 7 day ban if violated orrrrrr a actual actual ban ,0.0,0.469,0.531,-0.891,Negative,"['now', 'then', 'will', 'there', 'be', 'a', 'temp', '7', 'day', 'ban', 'if', 'violated', 'orrrrrr', 'a', 'actual', 'actual', 'ban']",temp 7 day ban violated orrrrrr actual actual ban,"['temp', '7', 'day', 'ban', 'violat', 'orrrrrr', 'actual', 'actual', 'ban']","['temp', '7', 'day', 'ban', 'violate', 'orrrrrr', 'actual', 'actual', 'ban']"
that4kira,ok but what about the 18 sex content pools and licking mics,0.14,0.0,0.86,0.2406,Positive,"['ok', 'but', 'what', 'about', 'the', '18', 'sex', 'content', 'pools', 'and', 'licking', 'mics']",ok 18 sex content pools licking mics,"['ok', '18', 'sex', 'content', 'pool', 'lick', 'mic']","['ok', '18', 'sex', 'content', 'pool', 'lick', 'mics']"
bio_beo,not enough,0.0,0.0,1.0,0.0,Neutral,"['not', 'enough']",enough,['enough'],['enough']
GeekRom94,good news,0.592,0.0,0.408,0.4404,Positive,"['good', 'news']",good news,"['good', 'news']","['good', 'news']"
Itsjeboyolaf,train looking for someone to pay 50k rn,0.0,0.135,0.865,-0.1027,Negative,"['train', 'looking', 'for', 'someone', 'to', 'pay', '50k', 'rn']",train looking someone pay 50k rn,"['train', 'look', 'someon', 'pay', '50k', 'rn']","['train', 'look', 'someone', 'pay', '50k', 'rn']"
DrawzOmega,now you just gotta make it so a twitch streamer cant have sex on stream and only get a 7 day ban instead o,0.0,0.141,0.859,-0.5574,Negative,"['now', 'you', 'just', 'gotta', 'make', 'it', 'so', 'a', 'twitch', 'streamer', 'cant', 'have', 'sex', 'on', 'stream', 'and', 'only', 'get', 'a', '7', 'day', 'ban', 'instead', 'o']",gotta make twitch streamer cant sex stream get 7 day ban instead,"['gotta', 'make', 'twitch', 'streamer', 'cant', 'sex', 'stream', 'get', '7', 'day', 'ban', 'instead']","['gotta', 'make', 'twitch', 'streamer', 'cant', 'sex', 'stream', 'get', '7', 'day', 'ban', 'instead']"
SirWoodeh,oh you get that sorted straight away but the hot tub thots can carry on huh,0.083,0.0,0.917,0.1154,Positive,"['oh', 'you', 'get', 'that', 'sorted', 'straight', 'away', 'but', 'the', 'hot', 'tub', 'thots', 'can', 'carry', 'on', 'huh']",oh get sorted straight away hot tub thots carry huh,"['oh', 'get', 'sort', 'straight', 'away', 'hot', 'tub', 'thot', 'carri', 'huh']","['oh', 'get', 'sort', 'straight', 'away', 'hot', 'tub', 'thots', 'carry', 'huh']"
Strohhut2X,its the right way but  its still allowed if they just license your gambling site and u can still stream,0.0,0.0,1.0,0.0,Neutral,"['its', 'the', 'right', 'way', 'but', 'its', 'still', 'allowed', 'if', 'they', 'just', 'license', 'your', 'gambling', 'site', 'and', 'u', 'can', 'still', 'stream']",right way still allowed license gambling site u still stream,"['right', 'way', 'still', 'allow', 'licens', 'gambl', 'site', 'u', 'still', 'stream']","['right', 'way', 'still', 'allow', 'license', 'gamble', 'site', 'u', 'still', 'stream']"
CTristan7,esautriot nooooooon,0.0,0.0,1.0,0.0,Neutral,"['esautriot', 'nooooooon']",esautriot nooooooon,"['esautriot', 'nooooooon']","['esautriot', 'nooooooon']"
itsMEHgan,big l,0.0,0.0,1.0,0.0,Neutral,"['big', 'l']",big l,"['big', 'l']","['big', 'l']"
Lhiquidd,ok but what about the girl who got fucked live on stream twice,0.081,0.31,0.609,-0.7579,Negative,"['ok', 'but', 'what', 'about', 'the', 'girl', 'who', 'got', 'fucked', 'live', 'on', 'stream', 'twice']",ok girl got fucked live stream twice,"['ok', 'girl', 'got', 'fuck', 'live', 'stream', 'twice']","['ok', 'girl', 'get', 'fucked', 'live', 'stream', 'twice']"
Alidottt,trainwreckstv apply for mcdonalds homie,0.0,0.0,1.0,0.0,Neutral,"['trainwreckstv', 'apply', 'for', 'mcdonalds', 'homie']",trainwreckstv apply mcdonalds homie,"['trainwreckstv', 'appli', 'mcdonald', 'homi']","['trainwreckstv', 'apply', 'mcdonalds', 'homie']"
PeefVFX,yea thats cool n all but why u doing nothing about those hoes streaming 247 oh yh money nvm,0.088,0.0,0.912,0.1655,Positive,"['yea', 'thats', 'cool', 'n', 'all', 'but', 'why', 'u', 'doing', 'nothing', 'about', 'those', 'hoes', 'streaming', '247', 'oh', 'yh', 'money', 'nvm']",yea thats cool n u nothing hoes streaming 247 oh yh money nvm,"['yea', 'that', 'cool', 'n', 'u', 'noth', 'hoe', 'stream', '247', 'oh', 'yh', 'money', 'nvm']","['yea', 'thats', 'cool', 'n', 'u', 'nothing', 'hoe', 'stream', '247', 'oh', 'yh', 'money', 'nvm']"
The_King_of_DJ,so important,0.511,0.0,0.489,0.2716,Positive,"['so', 'important']",important,['import'],['important']
Wizardhood2003,will we still able to gamble with out bots different pages have different things to set up using a type of,0.0,0.0,1.0,0.0,Neutral,"['will', 'we', 'still', 'able', 'to', 'gamble', 'with', 'out', 'bots', 'different', 'pages', 'have', 'different', 'things', 'to', 'set', 'up', 'using', 'a', 'type', 'of']",still able gamble bots different pages different things set using type,"['still', 'abl', 'gambl', 'bot', 'differ', 'page', 'differ', 'thing', 'set', 'use', 'type']","['still', 'able', 'gamble', 'bot', 'different', 'page', 'different', 'thing', 'set', 'use', 'type']"
VerySandyRandy,thank god i can watch my softcore porn in peace,0.545,0.0,0.455,0.8122,Positive,"['thank', 'god', 'i', 'can', 'watch', 'my', 'softcore', 'porn', 'in', 'peace']",thank god watch softcore porn peace,"['thank', 'god', 'watch', 'softcor', 'porn', 'peac']","['thank', 'god', 'watch', 'softcore', 'porn', 'peace']"
CryptoHunterzzz,pool hot tubes category is just more shamless than gambling,0.0,0.0,1.0,0.0,Neutral,"['pool', 'hot', 'tubes', 'category', 'is', 'just', 'more', 'shamless', 'than', 'gambling']",pool hot tubes category shamless gambling,"['pool', 'hot', 'tube', 'categori', 'shamless', 'gambl']","['pool', 'hot', 'tube', 'category', 'shamless', 'gamble']"
x_tr0uble,xdesert ,0.0,0.0,1.0,0.0,Neutral,['xdesert'],xdesert,['xdesert'],['xdesert']
Heavy_Bob,thats pretty funny statement from twitch considering the company has been making an active effort to recrui,0.355,0.0,0.645,0.8316,Positive,"['thats', 'pretty', 'funny', 'statement', 'from', 'twitch', 'considering', 'the', 'company', 'has', 'been', 'making', 'an', 'active', 'effort', 'to', 'recrui']",thats pretty funny statement twitch considering company making active effort recrui,"['that', 'pretti', 'funni', 'statement', 'twitch', 'consid', 'compani', 'make', 'activ', 'effort', 'recrui']","['thats', 'pretty', 'funny', 'statement', 'twitch', 'consider', 'company', 'make', 'active', 'effort', 'recrui']"
newdrft,now the rest,0.0,0.0,1.0,0.0,Neutral,"['now', 'the', 'rest']",rest,['rest'],['rest']
peruanohermoso,zzzzzzzzzzz,0.0,0.0,1.0,0.0,Neutral,['zzzzzzzzzzz'],zzzzzzzzzzz,['zzzzzzzzzzz'],['zzzzzzzzzzz']
mgross1,im not sure i believe you tbh,0.0,0.246,0.754,-0.2411,Negative,"['im', 'not', 'sure', 'i', 'believe', 'you', 'tbh']",im sure believe tbh,"['im', 'sure', 'believ', 'tbh']","['im', 'sure', 'believe', 'tbh']"
BastianIchHD,wurde auch mal zeit,0.0,0.0,1.0,0.0,Neutral,"['wurde', 'auch', 'mal', 'zeit']",wurde auch mal zeit,"['wurd', 'auch', 'mal', 'zeit']","['wurde', 'auch', 'mal', 'zeit']"
Timk4700,you can fuck on stream but not gamble twitch is simply so fucking shit,0.0,0.381,0.619,-0.8405,Negative,"['you', 'can', 'fuck', 'on', 'stream', 'but', 'not', 'gamble', 'twitch', 'is', 'simply', 'so', 'fucking', 'shit']",fuck stream gamble twitch simply fucking shit,"['fuck', 'stream', 'gambl', 'twitch', 'simpli', 'fuck', 'shit']","['fuck', 'stream', 'gamble', 'twitch', 'simply', 'fuck', 'shit']"
Janisku7,i guess i start to gambling now more and more the rebel spirit is in my always also i gamble my life ever,0.082,0.079,0.839,0.022,Neutral,"['i', 'guess', 'i', 'start', 'to', 'gambling', 'now', 'more', 'and', 'more', 'the', 'rebel', 'spirit', 'is', 'in', 'my', 'always', 'also', 'i', 'gamble', 'my', 'life', 'ever']",guess start gambling rebel spirit always also gamble life ever,"['guess', 'start', 'gambl', 'rebel', 'spirit', 'alway', 'also', 'gambl', 'life', 'ever']","['guess', 'start', 'gamble', 'rebel', 'spirit', 'always', 'also', 'gamble', 'life', 'ever']"
RealGamerChris,great initiative,0.725,0.0,0.275,0.7405,Positive,"['great', 'initiative']",great initiative,"['great', 'initi']","['great', 'initiative']"
Timk4700,what a sad company,0.0,0.508,0.492,-0.4767,Negative,"['what', 'a', 'sad', 'company']",sad company,"['sad', 'compani']","['sad', 'company']"
bluestripmatty,so yall let ppl fuck on stream but ban gambling so does that mean theyre gonna take off channel points,0.0,0.273,0.727,-0.8181,Negative,"['so', 'yall', 'let', 'ppl', 'fuck', 'on', 'stream', 'but', 'ban', 'gambling', 'so', 'does', 'that', 'mean', 'theyre', 'gonna', 'take', 'off', 'channel', 'points']",yall let ppl fuck stream ban gambling mean theyre gonna take channel points,"['yall', 'let', 'ppl', 'fuck', 'stream', 'ban', 'gambl', 'mean', 'theyr', 'gonna', 'take', 'channel', 'point']","['yall', 'let', 'ppl', 'fuck', 'stream', 'ban', 'gamble', 'mean', 'theyre', 'gonna', 'take', 'channel', 'point']"
flexisabove13,ban porn as well simp mods thx,0.324,0.254,0.423,0.0,Neutral,"['ban', 'porn', 'as', 'well', 'simp', 'mods', 'thx']",ban porn well simp mods thx,"['ban', 'porn', 'well', 'simp', 'mod', 'thx']","['ban', 'porn', 'well', 'simp', 'mod', 'thx']"
aidezmurphy,liars,0.0,0.63,0.37,-0.5267,Negative,['liars'],liars,['liar'],['liar']
Flaaky99,twitch ,0.0,0.0,1.0,0.0,Neutral,['twitch'],twitch,['twitch'],['twitch']
WinzuTheDev,rip therealknossi,0.0,0.0,1.0,0.0,Neutral,"['rip', 'therealknossi']",rip therealknossi,"['rip', 'therealknossi']","['rip', 'therealknossi']"
tweet_AmigoTv,eeeendlich ,0.0,0.0,1.0,0.0,Neutral,['eeeendlich'],eeeendlich,['eeeendlich'],['eeeendlich']
